ISIN,SECURITY NAME,BSE CODE,BSE SERIES,NSE SYMBOL,NSE SERIES,GROUP I BSE,GROUP I NSE,VAR MARGIN %
INE012A01025,ACC Ltd,500410,A,ACC,EQ,Y,Y,25
INE742F01042,Adani Ports & Special Economic Zone LTD.,532921,A,ADANIPORTS,EQ,Y,Y,25
INE079A01024,Ambuja Cements Ltd,500425,A,AMBUJACEM,EQ,Y,Y,25
INE208A01029,Ashok Leyland Ltd,500477,A,ASHOKLEY,EQ,Y,Y,25
INE021A01026,Asian Paints Ltd,500820,A,ASIANPAINT,EQ,Y,Y,25
INE406A01037,Aurobindo Pharma Ltd,524804,A,AUROPHARMA,EQ,Y,Y,25
INE238A01034,AXIS Bank Ltd,532215,A,AXISBANK,EQ,Y,Y,25
INE917I01010,Bajaj Auto Ltd,532977,A,BAJAJ-AUTO,EQ,Y,Y,25
INE296A01024,Bajaj Finance Ltd,500034,A,BAJFINANCE,EQ,Y,Y,25
INE918I01018,Bajaj Finserv Ltd,532978,A,BAJAJFINSV,EQ,Y,Y,25
INE028A01039,Bank of Baroda,532134,A,BANKBARODA,EQ,Y,Y,25
INE263A01024,Bharat Electronics Ltd,500049,A,BEL,EQ,Y,Y,25
INE257A01026,Bharat Heavy Electricals Ltd,500103,A,BHEL,EQ,Y,Y,25
INE029A01011,Bharat Petroleum Corporation Ltd,500547,A,BPCL,EQ,Y,Y,25
INE397D01024,Bharti AirTel Limited,532454,A,BHARTIARTL,EQ,Y,Y,25
INE121J01017,Bharti Infratel Limited,534816,A,INFRATEL,EQ,Y,Y,25
INE323A01026,Bosch Ltd,500530,A,BOSCHLTD,EQ,Y,Y,25
INE216A01022,Britannia Industries  Limited,500825,A,BRITANNIA,EQ,Y,Y,25
INE010B01027,Cadila Healthcare Ltd,532321,A,CADILAHC,EQ,Y,Y,25
INE059A01026,Cipla Ltd,500087,A,CIPLA,EQ,Y,Y,25
INE522F01014,Coal India Limited,533278,A,COALINDIA,EQ,Y,Y,25
INE259A01022,Colgate Palmolive India Ltd,500830,A,COLPAL,EQ,Y,Y,25
INE111A01025,Container Corporation of India Ltd,531344,A,CONCOR,EQ,Y,Y,25
INE298A01020,CUMMINS INDIA LTD.,500480,A,CUMMINSIND,EQ,Y,Y,25
INE016A01026,Dabur India Ltd,500096,A,DABUR,EQ,Y,Y,25
INE271C01023,DLF Ltd,532868,A,DLF,EQ,Y,Y,25
INE089A01023,Dr Reddys Laboratories Ltd,500124,A,DRREDDY,EQ,Y,Y,25
INE066A01013,Eicher Motors Ltd,505200,A,EICHERMOT,EQ,Y,Y,25
INE129A01019,Gail India Ltd,532155,A,GAIL,EQ,Y,Y,25
INE102D01028,Godrej Consumer Products Ltd,532424,A,GODREJCP,EQ,Y,Y,25
INE047A01021,Grasim Industries Ltd,500300,A,GRASIM,EQ,Y,Y,25
INE176B01034,Havells India Ltd,517354,A,HAVELLS,EQ,Y,Y,25
INE860A01027,HCL Technologies Ltd,532281,A,HCLTECH,EQ,Y,Y,25
INE040A01026,Hdfc Bank Ltd.,500180,A,HDFCBANK,EQ,Y,Y,25
INE001A01036,Hdfc Ltd,500010,A,HDFC,EQ,Y,Y,25
INE158A01026,Hero MotoCorp Limited,500182,A,HEROMOTOCO,EQ,Y,Y,25
INE038A01020,Hindalco Industries Ltd,500440,A,HINDALCO,EQ,Y,Y,25
INE030A01027,Hindustan Unilever Ltd,500696,A,HINDUNILVR,EQ,Y,Y,25
INE267A01025,Hindustan Zinc Ltd,500188,A,HINDZINC,EQ,Y,Y,25
INE090A01021,ICICI Bank Ltd,532174,A,ICICIBANK,EQ,Y,Y,25
INE726G01019,ICICI Prudential Life Insurance Co. Ltd,540133,B,ICICIPRULI,EQ,Y,Y,25
INE148I01020,Indiabulls Housing Finance Limited,535789,A,IBULHSGFIN,EQ,Y,Y,25
INE242A01010,Indian Oil Corporation Ltd,530965,A,IOC,EQ,Y,Y,25
INE095A01012,Indusind Bank Ltd,532187,A,INDUSINDBK,EQ,Y,Y,25
INE009A01021,Infosys Ltd.,500209,A,INFY,EQ,Y,Y,25
INE646L01027,InterGlobe Aviation Limited,539448,A,INDIGO,EQ,Y,Y,25
INE154A01025,ITC Ltd,500875,A,ITC,EQ,Y,Y,25
INE019A01038,JSW Steel Limited,500228,A,JSWSTEEL,EQ,Y,Y,25
INE237A01028,Kotak Mahindra Bank Ltd,500247,A,KOTAKBANK,EQ,Y,Y,25
INE498L01015,L&T Finance Holdings Limited,533519,A,L&TFH,EQ,Y,Y,25
INE018A01030,Larsen & Toubro Ltd,500510,A,LT,EQ,Y,Y,25
INE115A01026,LIC Housing Finance Ltd,500253,A,LICHSGFIN,EQ,Y,Y,25
INE326A01037,Lupin Ltd,500257,A,LUPIN,EQ,Y,Y,25
INE101A01026,Mahindra & Mahindra Ltd,500520,A,M&M,EQ,Y,Y,25
INE196A01026,Marico Ltd,531642,A,MARICO,EQ,Y,Y,25
INE585B01010,Maruti Suzuki India Ltd,532500,A,MARUTI,EQ,Y,Y,25
INE775A01035,Motherson Sumi Systems Limited,517334,A,MOTHERSUMI,EQ,Y,Y,25
INE883A01011,MRF LTD.,500290,A,MRF,EQ,Y,Y,25
INE733E01010,National Thermal Power Corporation Ltd,532555,A,NTPC,EQ,Y,Y,25
INE848E01016,NHPC Limited,533098,A,NHPC,EQ,Y,Y,25
INE584A01023,NMDC Limited,526371,A,NMDC,EQ,Y,Y,25
INE213A01029,Oil & Natural Gas Corporation Ltd,500312,A,ONGC,EQ,Y,Y,25
INE274J01014,Oil India Limited,533106,A,OIL,EQ,Y,Y,25
INE347G01014,Petronet LNG Ltd,532522,A,PETRONET,EQ,Y,Y,25
INE318A01026,Pidilite Industries Ltd,500331,A,PIDILITIND,EQ,Y,Y,25
INE140A01024,Piramal Enterprises Limited,500302,A,PEL,EQ,Y,Y,25
INE134E01011,Power Finance Corporation Ltd,532810,A,PFC,EQ,Y,Y,25
INE752E01010,Power Grid Corporation of India Ltd,532898,A,POWERGRID,EQ,Y,Y,25
INE002A01018,Reliance Industries Ltd,500325,A,RELIANCE,EQ,Y,Y,25
INE020B01018,Rural Electrification Corporation Ltd,532955,A,RECLTD,EQ,Y,Y,25
INE070A01015,Shree Cement Ltd,500387,A,SHREECEM,EQ,Y,Y,25
INE721A01013,Shriram Transport Finance Company Ltd,511218,A,SRTRANSFIN,EQ,Y,Y,25
INE003A01024,Siemens Ltd,500550,A,SIEMENS,EQ,Y,Y,25
INE062A01020,State Bank of India,500112,A,SBIN,EQ,Y,Y,25
INE114A01011,Steel Authority of India Limited,500113,A,SAIL,EQ,Y,Y,25
INE044A01036,Sun Pharmaceutical Industries Ltd,524715,A,SUNPHARMA,EQ,Y,Y,25
INE424H01027,SUN TV NETWORK LIMITED,532733,A,SUNTV,EQ,Y,Y,25
INE467B01029,Tata Consultancy Services Ltd,532540,A,TCS,EQ,Y,Y,25
INE155A01022,Tata Motors Ltd,500570,A,TATAMOTORS,EQ,Y,Y,25
INE081A01012,TATA Steel Limited,500470,A,TATASTEEL,EQ,Y,Y,25
INE669C01036,Tech Mahindra Limited,532755,A,TECHM,EQ,Y,Y,25
INE280A01028,Titan Company Ltd,500114,A,TITAN,EQ,Y,Y,25
INE481G01011,Ultratech Cement Ltd,532538,A,ULTRACEMCO,EQ,Y,Y,25
INE628A01036,UPL Limited,512070,A,UPL,EQ,Y,Y,25
INE205A01025,Vedanta Limited,500295,A,VEDL,EQ,Y,Y,25
INE075A01022,Wipro Ltd,507685,A,WIPRO,EQ,Y,Y,25
INE528G01027,Yes Bank Ltd,532648,A,YESBANK,EQ,Y,Y,25
INE256A01028,Zee Entertainment Enterprises Ltd,505537,A,ZEEL,EQ,Y,Y,25
INE094A01015,Hindustan Petroleum Corporation Ltd,500104,A,HINDPETRO,EQ,Y,Y,30
