,text,neg,neu,pos,compound
0,"Zee Entertainment shares plunged 33 per cent to Rs 155.9 apiece, after its merger with Sony Pictures Networks India Private Ltd (now known as Culver Max Entertainment Ltd) was called off. Worried investors, including some funds, sold Zee stocks, dealers said.",0.047,0.787,0.166,1
1,"Among sectors, metal, oil & gas and capital goods witnessed a rally only to be joined later by banking and auto shares. Gift Nifty rose 141 points, or 0.66 per cent at 21,404.00.",0.0,0.199,0.801,1
2,Indian indices inched higher as trading session progressed on Wednesday ahead of the FY 2024 interim budget to be presented on February 1. Investors will keenly observe the announcements despite the interim nature of the budget.,0.0,0.946,0.054,0
3,"A 19 per cent surge in the country’s net direct tax collection also supported domestic equities to make new highs on Friday, said Siddhartha Khemka, Head - Retail Research, Motilal Oswal Financial Services Ltd",0.0,0.931,0.069,0
4,"Analysts said traders are bracing for sharp swings around the budget announcement for FY25, the government's final one before the national elections this year. ""We have seen a negative market trend on average in the past budgets since 2012, and today's declin…",0.085,0.915,0.0,-1
5,"""Overall we expect markets to remain in a positive range. Stock-specific action will gather pace with the start of the earning season,"" said Siddhartha Khemka, Head - Retail Research, Motilal Oswal.",0.0,0.886,0.114,1
6,"Stocks that were in focus include names like Bajaj Auto, which fell 0.81%, Sobha, which jumped 15.8%, and Adani Ports, whose shares jumped 2.5% on Thursday.",0.785,0.179,0.037,-1
7,"Stocks that were in focus included names like L&T, which fell 4.22%, PB Fintech, which jumped 10.2%, and Voltas, whose shares increased 7.09% on Wednesday.",0.784,0.163,0.053,-1
8,"The Indian equity benchmarks closed in green on January 11, Sensex was up 0.08 percent at 71,721.18, and the Nifty was up 0.13 percent at 21,647.20",0.0,0.309,0.691,1
9,"While Nifty, Sensex trade flat, Bank Nifty is under pressure, dragged by losses of up to 1 percent in Bandhan Bank, ICICI Bank and Federal Bank.",0.194,0.635,0.171,0
10,"Nifty heavyweights like Reliance, HUL, and Ultratech will share their December quarter numbers today and these can influence the market direction, analysts say",0.0,0.73,0.27,1
11,"As of 1:06pm, the Sensex was down by 619.31 points or 0.87 percent at 70,804.34, and the Nifty was down 198.10 points or 0.92 percent at 21,373.70",0.0,0.906,0.094,1
12,"Sharp selling in frontline banks, FMCG and metals put pressure on the Nifty and the Sensex. All sectoral indices except pharma ended in the red",0.76,0.214,0.026,-1
13,"Stocks that were in focus included names like Metro Brands, which fell 3.84%, HUL, which rose 0.78%, and Titan, whose shares climbed 2.18% on Friday.",0.791,0.172,0.037,-1
14,"The biggest Nifty gainers included Dr Reddy's Laboratories, Eicher Motors, Sun Pharma, Divis Labs, Tata Motors, while losers were L&amp;T, Titan Company, Tata Consumer and BPCL",0.113,0.797,0.09,0
15,Benchmark indices Sensex and Nifty are down by nearly 2 percent and there is a sense of panic on the Street. We look at the factors contributing to the sell off and what investors need to keep in mind.,0.08,0.854,0.066,0
16,"The benchmark indices hit another high. The Sensex ended the day 759.49 points, or 1.05 percent, higher at 73,327.94 and the Nifty 203 points, or 0.93 percent, at 22,097.50, their best closing so far",0.0,0.823,0.177,1
17,"The Nifty, Sensex, which slumped over 2 percent each in the previous trading session, continue to trade lower. HDFC Bank, which tanked over 8 percent the previous day, too, was down",0.632,0.335,0.033,-1
18,"Among sectors, oil &amp; gas index up 5 percent, Power index up 3 percent, and Capital Goods index up 2 percent",0.0,1.0,0.0,0
19,"Quality microcap stocks have the potential to outperform over the long term. Despite market highs, Flexicap mutual funds can add small- and micro-cap stocks due to the flexibility",0.0,0.918,0.082,0
20,"The Nifty scaled a fresh record high of 22,080.20 after the air cleared around two major events -- the Interim Budget and the US Federal Reserve#39;s monetary policy meeting",0.0,0.796,0.204,1
21,"The broader market outperformed the benchmarks, tilting the market breadth in favour of gainers. About 1,864 shares advanced, 1,449 declined and 73 remained unchanged",0.0,0.747,0.253,1
22,"Analysts anticipate December quarter earning and the US inflation data for December, to be released later in the day, to offer direction to the market",0.0,1.0,0.0,0
23,"Top Nifty gainers were Maruti Suzuki, Cipla, Eicher Motors, SBI Life Insurance and Power Grid Corporation, while losers included UltraTech Cement, L&amp;T, Dr Reddy's Laboratories, JSW Steel and Grasim Industries.",0.097,0.774,0.129,0
24,"Nifty Metal led the losses, falling around 1 percent. Nifty Pharma, Infra and IT indices were also trading with losses. On the flipside, gains in Nifty PSU Bank, Auto, Bank, Energy and FMCG indices capped losses for the headline indices.",0.185,0.574,0.241,1
25,The market is moving up and down without a directional trend amid uncertainty ahead of Q3 earnings. Up moves are countered with selling and down moves are responded with buying.,0.079,0.921,0.0,0
26,Analysts expect volatility to remain high through the week in the backdrop of major events like the Interim Budget and the US Federal Reserve#39;s monetary policy meeting.,0.0,0.912,0.088,0
27,Experts anticipate that this decline will only intensify from here on and suggest investors to exercise caution in this holiday-shortened week,0.0,1.0,0.0,0
28,"Top Nifty losers included LTIMindtree, HDFC Bank, NTPC, Titan Company and Asian Paints, while Sun Pharma, Cipla, Tech Mahindra, Tata Motors and Axis Bank ended higher",0.11,0.744,0.146,0
29,"Market experts suggested investors to monitor Nifty around the psychological mark of 21,000",0.0,0.816,0.184,1
30,Markets across the global struggled as hawkish comments from Federal Reserve Governor Christopher Waller triggered a spike in yields on the US 10-year bonds and the dollar index,0.085,0.915,0.0,0
31,"Biggest losers on the Nifty were IndusInd Bank, Coal India, ONGC, Adani Ports and SBI Life Insurance, while gainers were Cipla, Sun Pharma, Bharti Airtel, ICICI Bank and Hero MotoCorp",0.093,0.736,0.172,1
32,"Selling in power and FMCG names dragged the markets down. However, buying in metal, realty and oil and gas stocks capped the losses",0.157,0.843,0.0,-1
33,"All Nifty sectoral indices were trading in green, with pharma, auto leading the pack. Nifty Bank, PSU bank, metal, energy and FMCG indices were trading up to a percent higher",0.0,0.299,0.701,1
34,"With expectations for the interim Budget to be mainly a vote on account, lacking significant announcements, Nifty index is likely to maintain a narrow range, said Shrey Jain, Founder and CEO SAS Online.",0.0,0.866,0.134,1
35,"A sharp fall in index heavyweights such as HDFC Bank, RIL and ICICI Bank dragged the benchmarks off their opening highs",0.059,0.941,0.0,0
36,The US jobs report will be closely watched for its potential impact on US Federal Reserve#39;s rate cut timeline,0.104,0.896,0.0,0
37,Market observers believe that the ongoing rally is driven by retail investors amid ample liquidity,0.0,0.122,0.878,1
38,"Market breadth was in favour of gainers. About 2,243 shares advanced, 1,602 declined and 99 remained unchanged",0.0,0.664,0.336,1
39,"Information technology stocks, which soared 3-7 percent, were the biggest reason for Nifty#39;s gain of 190 points. The Nifty IT index was the top sectoral gainer as it zoomed 4.75 percent",0.0,0.21,0.79,1
40,"Market is likely to trade within the current range along with stock-specific actions, says Siddhartha Khemka of Motilal Oswal Financial Services",0.0,1.0,0.0,0
41,"Investors#39; focus will be on the Budget even though it is a vote on account, Since it is colliding with the US Fed outcome where rates were kept unchanged, analysts expect markets to see some volatility.",0.042,0.958,0.0,0
42,"After solid US jobs report, rate cut hopes have been pushed to June instead of March, said analysts",0.098,0.698,0.205,0
43,"&quot;Technically 21,750 is a strong resistance for Nifty around which we expect the current rally to cool off. Supports are placed at 21,137 and 20,870 on the downside,&quot; said Rahul Sharma of JM Financial Services.",0.0,0.206,0.794,1
44,Analysts expect bullish undertone to remain intact in the near-term due to strong fundamentals,0.0,0.094,0.906,1
45,"Despite mixed global signals, Indian markets exhibited resilience in Thursday#39;s trade amid Nifty#39;s weekly expiry. The lead sectoral performer on January 4 was the Nifty Realty index as it hit a record high of 836.45",0.0,0.922,0.078,1
46,"Top losers on the Nifty included HUL, M&amp;M, TCS, IndusInd Bank and HCL Technologies, while gainers were Coal India, Adani Ports, Adani Enterprises, Kotak Mahindra Bank and ICICI Bank",0.1,0.767,0.133,0
47,"The impact of Interim Budget on equity markets will be neutral to mildly positive for the near term and other emerging triggers will drive its trajectory later, said Dhiraj Relli, MD &amp; CEO, HDFC Securities.",0.0,0.851,0.149,1
48,"Investors remain on a #39;wait-and-watch#39; mode ahead of the start of the Q3 earnings season, which is likely to provide fresh cues for market directions.",0.0,0.909,0.091,0
49,Analysts at Morgan Stanley said that they see continued double-digit growth in October-December quarter#39;s (Q3FY4) average room rates,0.0,0.867,0.133,0
50,The benchmark indices shrugged off weak global trend to recoup early losses to trade marginally high on gains in financial names,0.218,0.699,0.083,-1
51,"Potential measures by the government could include increased allocations for defense, railways, and other infrastructure projects, leading to rallies in stocks related to these sectors. While technically realty and banking &amp; financial services are set for…",0.0,0.904,0.096,0
52,"&quot;U.S. forces identified the missile in Houthi-controlled areas of Yemen and determined that it presented an imminent threat to U.S. aircraft,&quot; it added.",0.127,0.784,0.09,0
53,"Salesforce is laying off about 700 employees across the company in the latest round of layoffs to hit the tech industry, the Wall Street Journal reported on Friday, citing a person familiar with its plans.",0.0,1.0,0.0,0
54,A Moneycontrol poll of economists had shown that the finance minister may target a fiscal deficit of 5.3 percent of the GDP for 2024-25 in its interim budget.,0.097,0.903,0.0,-1
55,"Some triggers that will shape market movement are inflation data, bank loan growth, deposit growth, and Q3 results",0.0,0.755,0.245,1
56,"Infrastructure, tourism, defence, consumption and railways are among the key sectors that stand to benefit from the announcements made on February 1, fund honchos say.",0.0,0.839,0.161,1
57,"Investors seemed hesitant to make significant decisions ahead of several key events this week including the interim budget and Fed rate decision, say analysts",0.078,0.853,0.07,0
