,text,sentiment
0,"Responsible AI (RAI) Office will serve as the custodian of ethical use of AI and ensure solutions align with emerging guardrails for AI across geographies BENGALURU, India, Feb. 27, 2024 /PRNewswire/ -- Infosys (NSE: INFY) (BSE: INFY) (NYSE: INFY), a global l…",
1,"The CPI is expected to have risen 0.4% in February on a monthly basis, and could heavily influence the timing of the Federal Reserve's rate cuts.",
2,"Sandip Agarwal says for Accenture, the challenge is on the discretionary side or on the consulting side, where we have small presence for some of the names like TCS and Infosys but for them, it is not a big chunk like it is for Accenture. He advises investing…",
3,"CLSA analysts say HCL and Infosys growth guidance would be a negative catalyst for TCS, HCL and Wipro",
4,"(marketscreener.com) 

The long-standing partnership marks a monumental decadal milestoneInfosys Topaz to enhance AI-driven digital features for all stakeholders of tennis LONDON, March 6, 2024 /PRNewswire/ -- Infosys , , , a global leader in next-generation …",
5,Infosys (NYSE:INFY – Get Free Report) was upgraded by equities researchers at StockNews.com from a “hold” rating to a “buy” rating in a research report issued to clients and investors on Thursday. A number of other research firms also recently weighed in on I…,
6,"Sei Investments Co. lessened its holdings in Infosys Limited (NYSE:INFY – Free Report) by 8.8% in the third quarter, according to its most recent 13F filing with the Securities and Exchange Commission (SEC). The firm owned 1,166,566 shares of the technology c…",
7,"Royal London Asset Management Ltd. increased its stake in Infosys Limited (NYSE:INFY – Free Report) by 97.3% in the third quarter, according to its most recent 13F filing with the Securities & Exchange Commission. The institutional investor owned 646,094 shar…",
8,"Infosys Topaz Unveils Responsible AI Suite of Offerings, to help Enterprises Navigate the Regulatory and Ethical Complexities of AI-powered Transformation           PR Newswire           Responsible AI (RAI) Office will serve as the custodian of ethica...",
9,"(marketscreener.com) 

SALT LAKE CITY and BENGALURU, India, March 1, 2024 /PRNewswire/ -- PROG Holdings, Inc. , the fintech holding company for Progressive Leasing, Vive Financial, Four Technologies, and Build, and Infosys , , , a global leader in next-genera…",
10,"(marketscreener.com) 

Responsible AI Office will serve as the custodian of ethical use of AI and ensure solutions align with emerging guardrails for AI across geographies
BENGALURU, India, Feb. 27, 2024 /PRNewswire/ -- Infosys  , a global leader in next-gene…",
11,"Infosys Limited (NYSE:INFY – Get Free Report) has earned an average rating of “Hold” from the eleven analysts that are currently covering the company, Marketbeat Ratings reports. Six research analysts have rated the stock with a hold rating and five have issu…",
12,"Deutsche Bank AG raised its position in shares of Infosys Limited (NYSE:INFY – Free Report) by 1.9% in the third quarter, according to its most recent 13F filing with the Securities and Exchange Commission (SEC). The institutional investor owned 3,192,749 sha…",
13,"Glenmede Trust Co. NA boosted its stake in shares of Infosys Limited (NYSE:INFY – Free Report) by 10.1% during the 3rd quarter, according to its most recent 13F filing with the SEC. The firm owned 16,704 shares of the technology company’s stock after buying a…",
14,"(marketscreener.com) 
PROG Holdings, Inc. , the fintech holding company for Progressive Leasing, Vive Financial, and Four Technologies, and Infosys , a global leader in next-generation digital services and consulting, today announced an agreement that is expe…",
15,"(marketscreener.com) 

Highlights Infosys' commitment to business integrity through robust ethics, compliance, and governance programs 
BENGALURU, India, March 4, 2024 /PRNewswire/ -- Infosys , a global leader in next-generation digital services and consultin…",
16,Infosys (NYSE:INFY – Get Free Report) was downgraded by investment analysts at StockNews.com from a “buy” rating to a “hold” rating in a note issued to investors on Tuesday. Several other analysts have also recently issued reports on the company. BMO Capital …,
17,"Stock analysts at Guggenheim initiated coverage on shares of Infosys (NYSE:INFY – Get Free Report) in a research report issued to clients and investors on Tuesday, MarketBeat reports. The brokerage set a “neutral” rating and a $20.00 price target on the techn…",
18,Top 5 firms lose market value; TCS and Infosys hit hardest; Reliance Industries gains; volatile equity trends cited,
19,"​The combined market valuation of five of the 10 most valued firms eroded by Rs 1,97,958.56 crore last week, with IT majors Tata Consultancy Services (TCS) and Infosys taking the biggest hit amid volatile trends in equities. Last week, the BSE benchmark climb…",
20,Infosys has embraced a hybrid work model and allows select business units to work from home for 11 days a month. Apply for work-from-home through the InfyMe platform. Subject to manager's approval. Infosys will open satellite offices for easier commuting.,
21,"The gap between largecaps and small and mid cap indices is widening, but no structural breakdown has occurred. IT stocks, except for TCS, are in a downtrend. Tata Steel shares hit fresh 52-week highs. A largecap route is a more broad based one, while smaller …",
22,"Nifty and Sensex soar to new highs in the financial year 2023-24, with retail investors outperforming institutional ones. Rupak De predicts increased trading activity this week due to F&O contracts expiry and shares top stock ideas. De also says  if Nifty fai…",
23,"Infosys Limited (NYSE:INFY – Get Free Report) was the recipient of some unusual options trading on Wednesday. Stock investors bought 10,590 put options on the company. This represents an increase of approximately 465% compared to the average volume of 1,874 p…",
24,"Profund Advisors LLC decreased its position in Infosys Limited (NYSE:INFY – Free Report) by 20.3% during the third quarter, according to the company in its most recent disclosure with the Securities & Exchange Commission. The firm owned 89,105 shares of the t…",
25,A Python library for interacting with OpenAlgo's trading APIs,
26,"​IT stocks were among the biggest Nifty losers in the week. HCL Tech, which ended about 5.5% down, formed a long-legged Doji candle on the daily charts, which is a reversal sign. “But the resistance at Rs 1570 appears strong for now. Weekly MACD has crossed b…",
27,"Sensex, Nifty updates on 14 March 2024: Benchmark Sensex rebounded 335 points and Nifty closed above the 22,100 level on Thursday on the back of buying in IT shares and metal shares as broader markets recovered from previous day’s sharp losses. The BSE Sensex…",
